Zeit,2485890083,2485889417,2485890828,2138497445,2485891313
09:11:28,,no connection,,,
09:11:29,,no connection,,,
09:11:31,,,no connection,,
09:11:31,,,no connection,,
09:11:33,,,,no connection,
09:11:34,,,,no connection,
09:11:36,,,,,no connection
09:11:41,,,,,no connection
09:11:43,no connection,,,,
09:11:44,no connection,,,,
09:11:46,,no connection,,,
09:11:47,,no connection,,,
09:11:49,,,no connection,,
09:11:49,,,no connection,,
09:11:51,,,,no connection,
09:11:52,,,,no connection,
09:11:54,,,,,no connection
09:11:59,,,,,no connection
09:12:01,no connection,,,,
09:12:02,no connection,,,,
09:12:04,,no connection,,,
09:12:04,,no connection,,,
09:12:06,,,no connection,,
09:12:07,,,no connection,,
09:12:09,,,,no connection,
09:12:09,,,,no connection,
09:12:11,,,,,no connection
09:12:17,,,,,no connection
09:12:19,no connection,,,,
09:12:20,no connection,,,,
09:12:22,,no connection,,,
09:12:22,,no connection,,,
09:12:24,,,no connection,,
09:12:25,,,no connection,,
09:12:27,,,,no connection,
09:12:27,,,,no connection,
09:12:29,,,,,no connection
09:12:35,,,,,no connection
09:12:37,no connection,,,,
09:12:37,no connection,,,,
09:12:39,,no connection,,,
09:12:40,,no connection,,,
09:12:42,,,no connection,,
09:12:42,,,no connection,,
09:12:44,,,,no connection,
09:12:45,,,,no connection,
09:12:47,,,,,no connection
09:12:53,,,,,no connection
09:12:55,no connection,,,,
09:12:55,no connection,,,,
09:12:57,,no connection,,,
09:12:58,,no connection,,,
09:13:00,,,no connection,,
09:13:00,,,no connection,,
09:13:02,,,,no connection,
09:13:03,,,,no connection,
09:13:05,,,,,no connection
09:13:10,,,,,no connection
09:13:12,no connection,,,,
09:13:13,no connection,,,,
09:13:15,,no connection,,,
09:13:15,,no connection,,,
09:13:18,,,no connection,,
09:13:18,,,no connection,,
09:13:20,,,,no connection,
09:13:21,,,,no connection,
09:13:23,,,,,no connection
09:13:28,,,,,no connection
09:13:30,no connection,,,,
09:13:31,no connection,,,,
09:13:33,,no connection,,,
09:13:33,,no connection,,,
09:13:35,,,no connection,,
09:13:36,,,no connection,,
09:13:38,,,,no connection,
09:13:38,,,,no connection,
09:13:40,,,,,no connection
09:13:46,,,,,no connection
09:13:48,no connection,,,,
09:13:48,no connection,,,,
09:13:51,,no connection,,,
09:13:51,,no connection,,,
09:13:53,,,no connection,,
09:13:54,,,no connection,,
09:13:56,,,,no connection,
09:13:56,,,,no connection,
09:13:58,,,,,no connection
09:14:04,,,,,no connection
09:14:06,no connection,,,,
09:14:06,no connection,,,,
09:14:08,,no connection,,,
09:14:09,,no connection,,,
09:14:11,,,no connection,,
09:14:11,,,no connection,,
09:14:13,,,,no connection,
09:14:14,,,,no connection,
09:14:16,,,,,no connection
09:14:22,,,,,no connection
09:14:24,no connection,,,,
09:14:24,no connection,,,,
09:14:26,,no connection,,,
09:14:27,,no connection,,,
09:14:29,,,no connection,,
09:14:29,,,no connection,,
09:14:31,,,,no connection,
09:14:32,,,,no connection,
09:14:34,,,,,no connection
09:14:39,,,,,no connection
09:14:41,no connection,,,,
09:14:42,no connection,,,,
09:14:44,,no connection,,,
09:14:44,,no connection,,,
09:14:46,,,no connection,,
09:14:47,,,no connection,,
09:14:49,,,,no connection,
09:14:50,,,,no connection,
09:14:52,,,,,no connection
09:14:57,,,,,no connection
09:14:59,no connection,,,,
09:15:00,no connection,,,,
09:15:02,,no connection,,,
09:15:02,,no connection,,,
09:15:04,,,no connection,,
09:15:05,,,no connection,,
09:15:07,,,,no connection,
09:15:07,,,,no connection,
09:15:09,,,,,no connection
09:15:15,,,,,no connection
09:15:17,no connection,,,,
09:15:17,no connection,,,,
09:15:20,,no connection,,,
09:15:20,,no connection,,,
09:15:22,,,no connection,,
09:15:23,,,no connection,,
09:15:25,,,,no connection,
09:15:25,,,,no connection,
09:15:27,,,,,no connection
09:15:33,,,,,no connection
09:15:35,no connection,,,,
09:15:35,no connection,,,,
09:15:37,,no connection,,,
09:15:38,,no connection,,,
09:15:40,,,no connection,,
09:15:40,,,no connection,,
09:15:42,,,,no connection,
09:15:43,,,,no connection,
09:15:45,,,,,no connection
09:15:51,,,,,no connection
09:15:53,no connection,,,,
09:15:53,no connection,,,,
09:15:55,,no connection,,,
09:15:56,,no connection,,,
09:15:58,,,no connection,,
09:15:58,,,no connection,,
09:16:00,,,,no connection,
09:16:01,,,,no connection,
09:16:03,,,,,no connection
09:16:08,,,,,no connection
09:16:10,no connection,,,,
09:16:11,no connection,,,,
09:16:13,,no connection,,,
09:16:14,,no connection,,,
09:16:16,,,no connection,,
09:16:16,,,no connection,,
09:16:18,,,,no connection,
09:16:19,,,,no connection,
09:16:21,,,,,no connection
09:16:26,,,,,no connection
09:16:28,no connection,,,,
09:16:29,no connection,,,,
09:16:31,,no connection,,,
09:16:31,,no connection,,,
09:16:33,,,no connection,,
09:16:34,,,no connection,,
09:16:36,,,,no connection,
09:16:36,,,,no connection,
09:16:38,,,,,no connection
09:16:44,,,,,no connection
09:16:46,no connection,,,,
09:16:47,no connection,,,,
09:16:49,,no connection,,,
09:16:49,,no connection,,,
09:16:51,,,no connection,,
09:16:52,,,no connection,,
09:16:54,,,,no connection,
09:16:54,,,,no connection,
09:16:56,,,,,no connection
09:17:02,,,,,no connection
09:17:04,no connection,,,,
09:17:04,no connection,,,,
09:17:06,,no connection,,,
09:17:07,,no connection,,,
09:17:09,,,no connection,,
09:17:09,,,no connection,,
09:17:12,,,,no connection,
09:17:12,,,,no connection,
09:17:14,,,,,no connection
09:17:20,,,,,no connection
09:17:22,no connection,,,,
09:17:22,no connection,,,,
09:17:24,,no connection,,,
09:17:25,,no connection,,,
09:17:27,,,no connection,,
09:17:27,,,no connection,,
09:17:29,,,,no connection,
09:17:30,,,,no connection,
09:17:32,,,,,no connection
09:17:37,,,,,no connection
09:17:39,no connection,,,,
09:17:40,no connection,,,,
09:17:42,,no connection,,,
09:17:43,,no connection,,,
09:17:45,,,no connection,,
09:17:45,,,no connection,,
09:17:47,,,,no connection,
09:17:48,,,,no connection,
09:17:50,,,,,no connection
09:17:55,,,,,no connection
09:17:57,no connection,,,,
09:17:58,no connection,,,,
09:18:00,,no connection,,,
09:18:00,,no connection,,,
09:18:02,,,no connection,,
09:18:03,,,no connection,,
09:18:05,,,,no connection,
09:18:06,,,,no connection,
09:18:08,,,,,no connection
09:18:13,,,,,no connection
09:18:15,no connection,,,,
09:18:16,no connection,,,,
09:18:18,,no connection,,,
09:18:18,,no connection,,,
09:18:20,,,no connection,,
09:18:21,,,no connection,,
09:18:23,,,,no connection,
09:18:23,,,,no connection,
09:18:25,,,,,no connection
09:18:31,,,,,no connection
09:18:33,no connection,,,,
09:18:33,no connection,,,,
09:18:35,,no connection,,,
09:18:36,,no connection,,,
09:18:38,,,no connection,,
09:18:39,,,no connection,,
09:18:41,,,,no connection,
09:18:41,,,,no connection,
09:18:43,,,,,no connection
09:18:49,,,,,no connection
09:18:51,no connection,,,,
09:18:51,no connection,,,,
09:18:53,,no connection,,,
09:18:54,,no connection,,,
09:18:56,,,no connection,,
09:18:56,,,no connection,,
09:18:58,,,,no connection,
09:18:59,,,,no connection,
09:19:01,,,,,no connection
09:19:06,,,,,no connection
09:19:08,no connection,,,,
09:19:09,no connection,,,,
09:19:11,,no connection,,,
09:19:12,,no connection,,,
09:19:14,,,no connection,,
09:19:14,,,no connection,,
09:19:16,,,,no connection,
09:19:17,,,,no connection,
09:19:19,,,,,no connection
09:19:24,,,,,no connection
09:19:26,no connection,,,,
09:19:27,no connection,,,,
09:19:29,,no connection,,,
09:19:29,,no connection,,,
09:19:31,,,no connection,,
09:19:32,,,no connection,,
09:19:34,,,,no connection,
09:19:35,,,,no connection,
09:19:37,,,,,no connection
09:19:42,,,,,no connection
09:19:44,no connection,,,,
09:19:45,no connection,,,,
09:19:47,,no connection,,,
09:19:47,,no connection,,,
09:19:49,,,no connection,,
09:19:50,,,no connection,,
09:19:52,,,,no connection,
09:19:52,,,,no connection,
09:19:54,,,,,no connection
09:20:00,,,,,no connection
09:20:02,no connection,,,,
09:20:02,no connection,,,,
09:20:04,,no connection,,,
09:20:05,,no connection,,,
09:20:07,,,no connection,,
09:20:07,,,no connection,,
09:20:10,,,,no connection,
09:20:10,,,,no connection,
09:20:12,,,,,no connection
09:20:18,,,,,no connection
09:20:20,no connection,,,,
09:20:20,no connection,,,,
09:20:22,,no connection,,,
09:20:23,,no connection,,,
09:20:25,,,no connection,,
09:20:25,,,no connection,,
09:20:27,,,,no connection,
09:20:28,,,,no connection,
09:20:30,,,,,no connection
09:20:35,,,,,no connection
09:20:37,no connection,,,,
09:20:38,no connection,,,,
09:20:40,,no connection,,,
09:20:41,,no connection,,,
09:20:43,,,no connection,,
09:20:43,,,no connection,,
09:20:45,,,,no connection,
09:20:46,,,,no connection,
09:20:48,,,,,no connection
09:20:53,,,,,no connection
09:20:55,no connection,,,,
09:20:56,no connection,,,,
09:20:58,,no connection,,,
09:20:58,,no connection,,,
09:21:00,,,no connection,,
09:21:01,,,no connection,,
09:21:03,,,,no connection,
09:21:03,,,,no connection,
09:21:05,,,,,no connection
09:21:11,,,,,no connection
09:21:13,no connection,,,,
09:21:14,no connection,,,,
09:21:16,,no connection,,,
09:21:16,,no connection,,,
09:21:18,,,no connection,,
09:21:19,,,no connection,,
09:21:21,,,,no connection,
09:21:21,,,,no connection,
09:21:23,,,,,no connection
09:21:29,,,,,no connection
09:21:31,no connection,,,,
09:21:31,no connection,,,,
09:21:33,,no connection,,,
09:21:34,,no connection,,,
09:21:36,,,no connection,,
09:21:36,,,no connection,,
09:21:38,,,,no connection,
09:21:39,,,,no connection,
09:21:41,,,,,no connection
09:21:46,,,,,no connection
09:21:49,no connection,,,,
09:21:49,no connection,,,,
09:21:51,,no connection,,,
09:21:52,,no connection,,,
09:21:54,,,no connection,,
09:21:54,,,no connection,,
09:21:56,,,,no connection,
09:21:57,,,,no connection,
09:21:59,,,,,no connection
09:22:04,,,,,no connection
09:22:06,no connection,,,,
09:22:07,no connection,,,,
09:22:09,,no connection,,,
09:22:09,,no connection,,,
09:22:11,,,no connection,,
09:22:12,,,no connection,,
09:22:14,,,,no connection,
09:22:14,,,,no connection,
09:22:17,,,,,no connection
09:22:22,,,,,no connection
09:22:24,no connection,,,,
09:22:25,no connection,,,,
09:22:27,,no connection,,,
09:22:27,,no connection,,,
09:22:29,,,no connection,,
09:22:30,,,no connection,,
09:22:32,,,,no connection,
09:22:32,,,,no connection,
09:22:34,,,,,no connection
09:22:40,,,,,no connection
09:22:42,no connection,,,,
09:22:42,no connection,,,,
09:22:44,,no connection,,,
09:22:45,,no connection,,,
09:22:47,,,no connection,,
09:22:47,,,no connection,,
09:22:50,,,,no connection,
09:22:50,,,,no connection,
09:22:52,,,,,no connection
09:22:58,,,,,no connection
09:23:00,no connection,,,,
09:23:00,no connection,,,,
09:23:02,,no connection,,,
09:23:03,,no connection,,,
09:23:05,,,no connection,,
09:23:05,,,no connection,,
09:23:07,,,,no connection,
09:23:08,,,,no connection,
09:23:10,,,,,no connection
09:23:15,,,,,no connection
09:23:17,no connection,,,,
09:23:18,no connection,,,,
09:23:20,,no connection,,,
09:23:20,,no connection,,,
09:23:23,,,no connection,,
09:23:23,,,no connection,,
09:23:25,,,,no connection,
09:23:26,,,,no connection,
09:23:28,,,,,no connection
09:23:33,,,,,no connection
09:23:35,no connection,,,,
09:23:36,no connection,,,,
09:23:38,,no connection,,,
09:23:38,,no connection,,,
09:23:40,,,no connection,,
09:23:41,,,no connection,,
09:23:43,,,,no connection,
09:23:43,,,,no connection,
09:23:45,,,,,no connection
09:23:51,,,,,no connection
09:23:53,no connection,,,,
09:23:54,no connection,,,,
09:23:56,,no connection,,,
09:23:56,,no connection,,,
09:23:58,,,no connection,,
09:23:59,,,no connection,,
09:24:01,,,,no connection,
09:24:01,,,,no connection,
09:24:03,,,,,no connection
09:24:09,,,,,no connection
09:24:11,no connection,,,,
09:24:11,no connection,,,,
09:24:13,,no connection,,,
09:24:14,,no connection,,,
09:24:16,,,no connection,,
09:24:16,,,no connection,,
09:24:18,,,,no connection,
09:24:19,,,,no connection,
09:24:21,,,,,no connection
09:24:27,,,,,no connection
09:24:29,no connection,,,,
09:24:29,no connection,,,,
09:24:31,,no connection,,,
09:24:32,,no connection,,,
09:24:34,,,no connection,,
09:24:34,,,no connection,,
09:24:36,,,,no connection,
09:24:37,,,,no connection,
09:24:39,,,,,no connection
09:24:44,,,,,no connection
09:24:46,no connection,,,,
09:24:47,no connection,,,,
09:24:49,,no connection,,,
09:24:50,,no connection,,,
09:24:52,,,no connection,,
09:24:52,,,no connection,,
09:24:54,,,,no connection,
09:24:55,,,,no connection,
09:24:57,,,,,no connection
09:25:02,,,,,no connection
09:25:04,no connection,,,,
09:25:05,no connection,,,,
09:25:07,,no connection,,,
09:25:07,,no connection,,,
09:25:09,,,no connection,,
09:25:10,,,no connection,,
09:25:12,,,,no connection,
09:25:12,,,,no connection,
09:25:14,,,,,no connection
09:25:20,,,,,no connection
09:25:22,no connection,,,,
09:25:22,no connection,,,,
09:25:25,,no connection,,,
09:25:25,,no connection,,,
09:25:27,,,no connection,,
09:25:28,,,no connection,,
09:25:30,,,,no connection,
09:25:30,,,,no connection,
09:25:32,,,,,no connection
09:25:38,,,,,no connection
09:25:40,no connection,,,,
09:25:40,no connection,,,,
09:25:42,,no connection,,,
09:25:43,,no connection,,,
09:25:45,,,no connection,,
09:25:45,,,no connection,,
09:25:47,,,,no connection,
09:25:48,,,,no connection,
09:25:50,,,,,no connection
09:25:55,,,,,no connection
09:25:58,no connection,,,,
09:25:58,no connection,,,,
09:26:00,,no connection,,,
09:26:01,,no connection,,,
09:26:03,,,no connection,,
09:26:03,,,no connection,,
09:26:05,,,,no connection,
09:26:06,,,,no connection,
09:26:08,,,,,no connection
09:26:13,,,,,no connection
09:26:15,no connection,,,,
09:26:16,no connection,,,,
09:26:18,,no connection,,,
09:26:18,,no connection,,,
09:26:20,,,no connection,,
09:26:21,,,no connection,,
09:26:23,,,,no connection,
09:26:23,,,,no connection,
09:26:26,,,,,no connection
09:26:31,,,,,no connection
09:26:33,no connection,,,,
09:26:34,no connection,,,,
09:26:36,,no connection,,,
09:26:36,,no connection,,,
09:26:38,,,no connection,,
09:26:39,,,no connection,,
09:26:41,,,,no connection,
09:26:41,,,,no connection,
09:26:43,,,,,no connection
09:26:49,,,,,no connection
09:26:51,no connection,,,,
09:26:51,no connection,,,,
09:26:53,,no connection,,,
09:26:54,,no connection,,,
09:26:56,,,no connection,,
09:26:57,,,no connection,,
09:26:59,,,,no connection,
09:26:59,,,,no connection,
09:27:01,,,,,no connection
09:27:07,,,,,no connection
09:27:09,no connection,,,,
09:27:09,no connection,,,,
09:27:11,,no connection,,,
09:27:12,,no connection,,,
09:27:14,,,no connection,,
09:27:14,,,no connection,,
09:27:16,,,,no connection,
09:27:17,,,,no connection,
09:27:19,,,,,no connection
09:27:24,,,,,no connection
09:27:26,no connection,,,,
09:27:27,no connection,,,,
09:27:29,,no connection,,,
09:27:30,,no connection,,,
09:27:32,,,no connection,,
09:27:32,,,no connection,,
09:27:34,,,,no connection,
09:27:35,,,,no connection,
09:27:37,,,,,no connection
09:27:42,,,,,no connection
09:27:44,no connection,,,,
09:27:45,no connection,,,,
09:27:47,,no connection,,,
09:27:47,,no connection,,,
09:27:49,,,no connection,,
09:27:50,,,no connection,,
09:27:52,,,,no connection,
09:27:52,,,,no connection,
09:27:55,,,,,no connection
09:28:00,,,,,no connection
09:28:02,no connection,,,,
09:28:03,no connection,,,,
09:28:05,,no connection,,,
09:28:05,,no connection,,,
09:28:07,,,no connection,,
09:28:08,,,no connection,,
09:28:10,,,,no connection,
09:28:10,,,,no connection,
09:28:12,,,,,no connection
09:28:18,,,,,no connection
09:28:20,no connection,,,,
09:28:20,no connection,,,,
09:28:22,,no connection,,,
09:28:23,,no connection,,,
09:28:25,,,no connection,,
09:28:26,,,no connection,,
09:28:28,,,,no connection,
09:28:28,,,,no connection,
09:28:30,,,,,no connection
09:28:36,,,,,no connection
09:28:38,no connection,,,,
09:28:38,no connection,,,,
09:28:40,,no connection,,,
09:28:41,,no connection,,,
09:28:43,,,no connection,,
09:28:43,,,no connection,,
09:28:45,,,,no connection,
09:28:46,,,,no connection,
09:28:48,,,,,no connection
09:28:53,,,,,no connection
09:28:55,no connection,,,,
09:28:56,no connection,,,,
09:28:58,,no connection,,,
09:28:59,,no connection,,,
09:29:01,,,no connection,,
09:29:01,,,no connection,,
09:29:03,,,,no connection,
09:29:04,,,,no connection,
09:29:06,,,,,no connection
09:29:11,,,,,no connection
09:29:13,no connection,,,,
09:29:14,no connection,,,,
09:29:16,,no connection,,,
09:29:16,,no connection,,,
09:29:18,,,no connection,,
09:29:19,,,no connection,,
09:29:21,,,,no connection,
09:29:21,,,,no connection,
09:29:24,,,,,no connection
09:29:29,,,,,no connection
09:29:31,no connection,,,,
09:29:32,no connection,,,,
09:29:34,,no connection,,,
09:29:34,,no connection,,,
09:29:36,,,no connection,,
09:29:37,,,no connection,,
09:29:39,,,,no connection,
09:29:39,,,,no connection,
09:29:41,,,,,no connection
09:29:47,,,,,no connection
09:29:49,no connection,,,,
09:29:49,no connection,,,,
09:29:51,,no connection,,,
09:29:52,,no connection,,,
09:29:54,,,no connection,,
09:29:55,,,no connection,,
09:29:57,,,,no connection,
09:29:57,,,,no connection,
09:29:59,,,,,no connection
09:30:05,,,,,no connection
09:30:07,no connection,,,,
09:30:07,no connection,,,,
09:30:09,,no connection,,,
09:30:10,,no connection,,,
09:30:12,,,no connection,,
09:30:12,,,no connection,,
09:30:14,,,,no connection,
09:30:15,,,,no connection,
09:30:17,,,,,no connection
09:30:22,,,,,no connection
09:30:25,no connection,,,,
09:30:25,no connection,,,,
09:30:27,,no connection,,,
09:30:28,,no connection,,,
09:30:30,,,no connection,,
09:30:30,,,no connection,,
09:30:32,,,,no connection,
09:30:33,,,,no connection,
09:30:35,,,,,no connection
09:30:40,,,,,no connection
09:30:42,no connection,,,,
09:30:43,no connection,,,,
09:30:45,,no connection,,,
09:30:45,,no connection,,,
09:30:47,,,no connection,,
09:30:48,,,no connection,,
09:30:50,,,,no connection,
09:30:50,,,,no connection,
09:30:53,,,,,no connection
09:30:58,,,,,no connection
09:31:00,no connection,,,,
09:31:01,no connection,,,,
09:31:03,,no connection,,,
09:31:03,,no connection,,,
09:31:05,,,no connection,,
09:31:06,,,no connection,,
09:31:08,,,,no connection,
09:31:08,,,,no connection,
09:31:10,,,,,no connection
09:31:16,,,,,no connection
09:31:18,no connection,,,,
09:31:18,no connection,,,,
09:31:20,,no connection,,,
09:31:21,,no connection,,,
09:31:23,,,no connection,,
09:31:24,,,no connection,,
09:31:26,,,,no connection,
09:31:26,,,,no connection,
09:31:28,,,,,no connection
09:31:34,,,,,no connection
09:31:36,no connection,,,,
09:31:36,no connection,,,,
09:31:38,,no connection,,,
09:31:39,,no connection,,,
09:31:41,,,no connection,,
09:31:41,,,no connection,,
09:31:43,,,,no connection,
09:31:44,,,,no connection,
09:31:46,,,,,no connection
09:31:51,,,,,no connection
09:31:53,no connection,,,,
09:31:54,no connection,,,,
09:31:56,,no connection,,,
09:31:57,,no connection,,,
09:31:59,,,no connection,,
09:31:59,,,no connection,,
09:32:01,,,,no connection,
09:32:02,,,,no connection,
09:32:04,,,,,no connection
09:32:09,,,,,no connection
09:32:11,no connection,,,,
09:32:12,no connection,,,,
09:32:14,,no connection,,,
09:32:14,,no connection,,,
09:32:16,,,no connection,,
09:32:17,,,no connection,,
09:32:19,,,,no connection,
09:32:19,,,,no connection,
09:32:21,,,,,no connection
09:32:27,,,,,no connection
09:32:29,no connection,,,,
09:32:30,no connection,,,,
09:32:32,,no connection,,,
09:32:32,,no connection,,,
09:32:34,,,no connection,,
09:32:35,,,no connection,,
09:32:37,,,,no connection,
09:32:37,,,,no connection,
09:32:39,,,,,no connection
09:32:45,,,,,no connection
09:32:47,no connection,,,,
09:32:47,no connection,,,,
09:32:49,,no connection,,,
09:32:50,,no connection,,,
09:32:52,,,no connection,,
09:32:52,,,no connection,,
09:32:55,,,,no connection,
09:32:55,,,,no connection,
09:32:57,,,,,no connection
09:33:03,,,,,no connection
09:33:05,no connection,,,,
09:33:05,no connection,,,,
09:33:07,,no connection,,,
09:33:08,,no connection,,,
09:33:10,,,no connection,,
09:33:10,,,no connection,,
09:33:12,,,,no connection,
09:33:13,,,,no connection,
09:33:15,,,,,no connection
09:33:20,,,,,no connection
09:33:22,no connection,,,,
09:33:23,no connection,,,,
09:33:25,,no connection,,,
09:33:26,,no connection,,,
09:33:28,,,no connection,,
09:33:28,,,no connection,,
09:33:30,,,,no connection,
09:33:31,,,,no connection,
09:33:33,,,,,no connection
09:33:38,,,,,no connection
09:33:40,no connection,,,,
09:33:41,no connection,,,,
09:33:43,,no connection,,,
09:33:43,,no connection,,,
09:33:45,,,no connection,,
09:33:46,,,no connection,,
09:33:48,,,,no connection,
09:33:48,,,,no connection,
09:33:51,,,,,no connection
09:33:56,,,,,no connection
09:33:58,no connection,,,,
09:33:59,no connection,,,,
09:34:01,,no connection,,,
09:34:01,,no connection,,,
09:34:03,,,no connection,,
09:34:04,,,no connection,,
09:34:06,,,,no connection,
09:34:06,,,,no connection,
09:34:08,,,,,no connection
09:34:14,,,,,no connection
09:34:16,no connection,,,,
09:34:16,no connection,,,,
09:34:18,,no connection,,,
09:34:19,,no connection,,,
09:34:21,,,no connection,,
09:34:21,,,no connection,,
09:34:24,,,,no connection,
09:34:24,,,,no connection,
09:34:26,,,,,no connection
09:34:32,,,,,no connection
09:34:34,no connection,,,,
09:34:34,no connection,,,,
09:34:36,,no connection,,,
09:34:37,,no connection,,,
09:34:39,,,no connection,,
09:34:39,,,no connection,,
09:34:41,,,,no connection,
09:34:42,,,,no connection,
09:34:44,,,,,no connection
09:34:49,,,,,no connection
09:34:51,no connection,,,,
09:34:52,no connection,,,,
09:34:54,,no connection,,,
09:34:55,,no connection,,,
09:34:57,,,no connection,,
09:34:57,,,no connection,,
09:34:59,,,,no connection,
09:35:00,,,,no connection,
09:35:02,,,,,no connection
09:35:07,,,,,no connection
09:35:09,no connection,,,,
09:35:10,no connection,,,,
09:35:12,,no connection,,,
09:35:12,,no connection,,,
09:35:14,,,no connection,,
09:35:15,,,no connection,,
09:35:17,,,,no connection,
09:35:17,,,,no connection,
09:35:19,,,,,no connection
09:35:25,,,,,no connection
09:35:27,no connection,,,,
09:35:28,no connection,,,,
09:35:30,,no connection,,,
09:35:30,,no connection,,,
09:35:32,,,no connection,,
09:35:33,,,no connection,,
09:35:35,,,,no connection,
09:35:35,,,,no connection,
09:35:37,,,,,no connection
09:35:43,,,,,no connection
09:35:45,no connection,,,,
09:35:45,no connection,,,,
09:35:47,,no connection,,,
09:35:48,,no connection,,,
09:35:50,,,no connection,,
09:35:50,,,no connection,,
09:35:52,,,,no connection,
09:35:53,,,,no connection,
09:35:55,,,,,no connection
09:36:01,,,,,no connection
09:36:03,no connection,,,,
09:36:03,no connection,,,,
09:36:05,,no connection,,,
09:36:06,,no connection,,,
09:36:08,,,no connection,,
09:36:08,,,no connection,,
09:36:10,,,,no connection,
09:36:11,,,,no connection,
09:36:13,,,,,no connection
09:36:18,,,,,no connection
09:36:20,no connection,,,,
09:36:21,no connection,,,,
09:36:23,,no connection,,,
09:36:23,,no connection,,,
09:36:26,,,no connection,,
09:36:26,,,no connection,,
09:36:28,,,,no connection,
09:36:29,,,,no connection,
09:36:31,,,,,no connection
09:36:36,,,,,no connection
09:36:38,no connection,,,,
09:36:39,no connection,,,,
09:36:41,,no connection,,,
09:36:41,,no connection,,,
09:36:43,,,no connection,,
09:36:44,,,no connection,,
09:36:46,,,,no connection,
09:36:46,,,,no connection,
09:36:48,,,,,no connection
09:36:54,,,,,no connection
09:36:56,no connection,,,,
09:36:56,no connection,,,,
09:36:58,,no connection,,,
09:36:59,,no connection,,,
09:37:01,,,no connection,,
09:37:02,,,no connection,,
09:37:04,,,,no connection,
09:37:04,,,,no connection,
09:37:06,,,,,no connection
09:37:12,,,,,no connection
09:37:14,no connection,,,,
09:37:14,no connection,,,,
09:37:16,,no connection,,,
09:37:17,,no connection,,,
09:37:19,,,no connection,,
09:37:19,,,no connection,,
09:37:21,,,,no connection,
09:37:22,,,,no connection,
09:37:24,,,,,no connection
09:37:29,,,,,no connection
09:37:31,no connection,,,,
09:37:32,no connection,,,,
09:37:34,,no connection,,,
09:37:35,,no connection,,,
09:37:37,,,no connection,,
09:37:37,,,no connection,,
09:37:39,,,,no connection,
09:37:40,,,,no connection,
09:37:42,,,,,no connection
09:37:47,,,,,no connection
09:37:49,no connection,,,,
09:37:50,no connection,,,,
09:37:52,,no connection,,,
09:37:52,,no connection,,,
09:37:54,,,no connection,,
09:37:55,,,no connection,,
09:37:57,,,,no connection,
09:37:57,,,,no connection,
09:37:59,,,,,no connection
09:38:05,,,,,no connection
09:38:07,no connection,,,,
09:38:08,no connection,,,,
09:38:10,,no connection,,,
09:38:10,,no connection,,,
09:38:12,,,no connection,,
09:38:13,,,no connection,,
09:38:15,,,,no connection,
09:38:15,,,,no connection,
09:38:17,,,,,no connection
09:38:23,,,,,no connection
09:38:25,no connection,,,,
09:38:25,no connection,,,,
09:38:27,,no connection,,,
09:38:28,,no connection,,,
09:38:30,,,no connection,,
09:38:31,,,no connection,,
09:38:33,,,,no connection,
09:38:33,,,,no connection,
09:38:35,,,,,no connection
09:38:41,,,,,no connection
09:38:43,no connection,,,,
09:38:43,no connection,,,,
09:38:45,,no connection,,,
09:38:46,,no connection,,,
09:38:48,,,no connection,,
09:38:48,,,no connection,,
09:38:50,,,,no connection,
09:38:51,,,,no connection,
09:38:53,,,,,no connection
09:38:58,,,,,no connection
09:39:00,no connection,,,,
09:39:01,no connection,,,,
09:39:03,,no connection,,,
09:39:04,,no connection,,,
09:39:06,,,no connection,,
09:39:06,,,no connection,,
09:39:08,,,,no connection,
09:39:09,,,,no connection,
09:39:11,,,,,no connection
09:39:16,,,,,no connection
09:39:18,no connection,,,,
09:39:19,no connection,,,,
09:39:21,,no connection,,,
09:39:21,,no connection,,,
09:39:23,,,no connection,,
09:39:24,,,no connection,,
09:39:26,,,,no connection,
09:39:27,,,,no connection,
09:39:29,,,,,no connection
09:39:34,,,,,no connection
09:39:36,no connection,,,,
09:39:37,no connection,,,,
09:39:39,,no connection,,,
09:39:39,,no connection,,,
09:39:41,,,no connection,,
09:39:42,,,no connection,,
09:39:44,,,,no connection,
09:39:44,,,,no connection,
09:39:46,,,,,no connection
09:39:52,,,,,no connection
09:39:54,no connection,,,,
09:39:54,no connection,,,,
09:39:57,,no connection,,,
09:39:57,,no connection,,,
09:39:59,,,no connection,,
09:40:00,,,no connection,,
09:40:02,,,,no connection,
09:40:02,,,,no connection,
09:40:04,,,,,no connection
09:40:10,,,,,no connection
09:40:12,no connection,,,,
09:40:12,no connection,,,,
09:40:14,,no connection,,,
09:40:15,,no connection,,,
09:40:17,,,no connection,,
09:40:17,,,no connection,,
09:40:19,,,,no connection,
09:40:20,,,,no connection,
09:40:22,,,,,no connection
09:40:28,,,,,no connection
09:40:30,no connection,,,,
09:40:30,no connection,,,,
09:40:32,,no connection,,,
09:40:33,,no connection,,,
09:40:35,,,no connection,,
09:40:35,,,no connection,,
09:40:37,,,,no connection,
09:40:38,,,,no connection,
09:40:40,,,,,no connection
09:40:45,,,,,no connection
09:40:47,no connection,,,,
09:40:48,no connection,,,,
09:40:50,,no connection,,,
09:40:50,,no connection,,,
09:40:52,,,no connection,,
09:40:53,,,no connection,,
09:40:55,,,,no connection,
09:40:56,,,,no connection,
09:40:58,,,,,no connection
